"Step","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0.0075","0","0.02"
"300000","0.015000000000000001","0","0.06"
"400000","0.0275","0","0.06"
"500000","0.035","0","0.08"
"600000","0.04","0","0.1"
"700000","0.0475","0","0.08"
"800000","0.0625","0.02","0.14"
"900000","0.035","0","0.1"
"1000000","0.02","0","0.1"