"Step","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.45500000000000007","0.34","0.64"
"200000","0.55","0.38","0.68"
"300000","0.7","0.56","0.8"
"400000","0.7949999999999999","0.68","0.86"
"500000","0.7000000000000001","0.6","0.9"
"600000","0.7750000000000001","0.68","0.86"
"700000","0.8","0.74","0.88"
"800000","0.825","0.8","0.86"
"900000","0.815","0.78","0.84"
"1000000","0.79","0.76","0.82"