"Step","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MIN","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.02","0","0.06"
"200000","0.060000000000000005","0.02","0.12"
"300000","0.1325","0.06","0.24"
"400000","0.145","0.06","0.22"
"500000","0.2275","0.12","0.38"
"600000","0.2525","0.18","0.38"
"700000","0.32500000000000007","0.26","0.42"
"800000","0.33999999999999997","0.24","0.52"
"900000","0.315","0.18","0.44"
"1000000","0.3125","0.16","0.46"