"Step","env_name: cube-double-play-singletask-v0 - evaluation/success","env_name: cube-double-play-singletask-v0 - evaluation/success__MIN","env_name: cube-double-play-singletask-v0 - evaluation/success__MAX"
"100000","0.005","0","0.02"
"200000","0.0775","0.02","0.16"
"300000","0.295","0.12","0.44"
"400000","0.5175000000000001","0.44","0.6"
"500000","0.6900000000000001","0.56","0.8"
"600000","0.7324999999999999","0.6","0.88"
"700000","0.6950000000000001","0.58","0.82"
"800000","0.725","0.58","0.86"
"900000","0.7675000000000001","0.7","0.88"
"1000000","0.745","0.62","0.84"