"Step","env_name: cube-single-play-singletask-v0 - evaluation/success","env_name: cube-single-play-singletask-v0 - evaluation/success__MIN","env_name: cube-single-play-singletask-v0 - evaluation/success__MAX"
"100000","0.8899999999999999","0.68","0.98"
"200000","0.96","0.9","1"
"300000","0.985","0.92","1"
"400000","0.9850000000000001","0.94","1"
"500000","0.97","0.92","1"
"600000","0.9725","0.94","1"
"700000","0.975","0.94","1"
"800000","0.98","0.96","1"
"900000","0.9700000000000001","0.92","1"
"1000000","0.99","0.98","1"